-2,-7,-2,-8,-5,-9,-3,-9,-1,-9,0,-8,0,-8,1,-7,1,-7,2,-6,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,1,-5,1,-5,1,-5,1,-5,1,-5,0,-4,0,-3,-1,-2,-2,-2,-2,-3,-2,-4,-1,-5,-2,-6,-1,-6,-2,-6,-1,-6,2,-7,6,-8,5,-7,5,-7,5,-6,1,-7,0,-7,-1,-8,-4,-10,-5,-10,19,5,6,-3,-2,-10,-1,-10,0,-10,-1,-10,0,-10,0,-10,1,-10,1,-10,1,-10,1,-10,2,-10,2,-12,3,-14,4,-14,4,-14,6,-14,6,-14,7,-13,7,-12,7,-12,8,-12,8,-11,9,-11,10,-10,6,-8,2,-7,-3,-6,-2,-7,90.449,-8.1076,71.392,782.34,19.67,3.8924,20.115,1157.8,7
3,-8,3,-8,4,-7,4,-7,3,-7,2,-8,2,-7,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,0,-8,0,-8,1,-8,1,-8,0,-8,1,-8,1,-8,1,-8,0,-8,0,-8,0,-8,-1,-7,0,-7,-1,-7,1,-8,2,-9,3,-9,3,-9,3,-8,1,-8,5,-9,5,-8,1,-9,0,-8,0,-9,0,-8,0,-8,-4,-11,-14,-18,0,-9,12,3,9,1,3,-4,2,-7,1,-7,1,-7,1,-7,1,-7,1,-7,1,-7,0,-7,1,-7,0,-7,0,-7,0,-7,0,-7,0,-7,-1,-7,-1,-6,-1,-6,-2,-6,-3,-6,-9,-4,-6,-6,-1,-8,-6,-8,-3,-8,2,-8,82.8,-7.7782,62.159,1048,251.35,5.2218,37.769,1064.7,7
0,-8,2,-8,5,-7,4,-7,4,-6,4,-6,3,-6,1,-7,1,-7,0,-8,0,-9,0,-9,0,-9,-1,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-10,0,-11,2,-12,3,-13,3,-13,4,-13,4,-13,4,-12,3,-10,2,-9,2,-9,2,-9,-1,-9,-4,-8,-7,-8,-7,-8,0,-8,0,-9,0,-8,0,-8,0,-8,8,-4,-5,-12,-6,-13,-10,-18,-7,-16,-2,-11,0,-8,0,-8,1,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,-1,-8,-2,-6,0,-8,-3,-6,-6,-4,-6,-4,-8,-4,-4,-6,-4,-7,-1,-8,8,-9,6,-9,1,-8,64.998,-8.3358,141.89,646.96,34.923,5.6642,81.998,997.41,7
-4,-7,-5,-6,-6,-7,-6,-7,-7,-8,-7,-8,-5,-8,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-3,-7,-3,-7,-4,-7,-4,-7,-4,-7,-3,-7,-3,-8,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-4,-7,-4,-6,-5,-6,-5,-6,-5,-6,-5,-6,-4,-7,-2,-6,-1,-5,-1,-6,-7,-8,1,-5,-13,-12,-3,-6,-3,-6,-3,-6,-3,-6,-3,-5,-3,-5,-2,-3,-2,-2,-2,-2,-3,-2,-3,-2,-4,-2,-4,-2,-5,-2,-5,-2,-5,-2,-5,-2,-6,-2,-5,-4,-7,-2,-4,-5,-1,-8,-1,-8,1,-8,2,-9,-1,-7,-6,-6,-7,-6,-5,-6,-4,-7,73.019,-9.2591,153.9,621.19,40.889,9.7409,92.019,1028.3,7
0,-7,0,-8,0,-8,0,-8,1,-8,1,-8,1,-8,2,-8,1,-8,2,-8,2,-7,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,2,-7,2,-6,2,-6,1,-5,0,-4,-1,-3,0,-4,-1,-4,-1,-4,0,-5,0,-6,0,-6,2,-8,6,-9,9,-9,12,-9,11,-8,6,-7,1,-8,1,-8,1,-8,7,-6,-2,-9,10,-3,16,2,3,-7,3,-7,2,-7,3,-8,2,-8,1,-10,0,-11,1,-11,1,-11,2,-10,2,-9,2,-9,3,-9,3,-10,3,-10,3,-11,5,-11,5,-11,5,-11,5,-11,5,-10,5,-10,0,-7,1,-7,-2,-6,0,-7,-3,-7,-2,-7,0,-7,94.091,-8.6638,86.581,830.45,52.708,8.3362,44.589,1169.1,7
4,-8,5,-8,8,-6,5,-7,4,-7,4,-6,3,-7,2,-7,3,-7,2,-7,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,2,-8,2,-8,1,-8,1,-8,1,-8,2,-8,2,-8,2,-8,1,-7,3,-9,3,-10,4,-10,4,-9,5,-9,3,-8,-1,-7,-3,-7,-5,-7,0,-8,5,-8,4,-7,2,-8,-1,-8,-6,-10,-2,-10,-2,-9,-4,-11,2,-7,2,-7,2,-7,1,-7,2,-7,2,-7,2,-7,1,-7,2,-7,1,-8,2,-9,2,-9,1,-7,1,-6,0,-7,1,-6,0,-6,0,-6,0,-6,-1,-6,-1,-6,-1,-6,4,-9,2,-8,3,-8,-1,-7,0,-7,2,-8,3,-8,63.644,-8.705,119.87,1055.1,63.024,7.295,80.644,1057.6,7
-2,-8,-1,-7,-1,-7,-2,-8,-1,-7,-2,-8,-2,-7,-3,-8,-3,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-9,-2,-9,-3,-9,-3,-9,-2,-9,-2,-10,-1,-11,-1,-11,0,-13,1,-13,1,-13,0,-11,0,-9,-1,-8,-1,-9,-1,-9,-1,-9,0,-8,-1,-7,-3,-7,-8,-7,-9,-8,-6,-8,-4,-8,4,-6,4,-6,-6,-9,-3,-9,-8,-12,-1,-7,-2,-7,-1,-7,-1,-6,-2,-6,-2,-6,-1,-6,-1,-6,-2,-5,-2,-4,-3,-4,-3,-4,-3,-5,-3,-5,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,-4,-5,-5,-5,-6,-5,-9,-4,-7,-5,-3,-8,2,-9,5,-9,0,-8,-2,-8,78.376,-10.112,172.8,657.15,66.121,10.888,118.1,1047,7
-3,-7,-5,-8,-6,-9,-4,-8,-4,-9,-2,-8,-1,-8,0,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-6,-1,-6,0,-6,0,-6,0,-6,-1,-5,-2,-4,-1,-5,-2,-4,-2,-5,-2,-5,-2,-5,-2,-6,-3,-6,-4,-5,-5,-5,-6,-5,-6,-5,-7,-6,-5,-7,0,-7,4,-7,2,-7,2,-6,-22,-13,-14,-12,9,-2,15,2,12,1,-6,-11,-5,-12,-5,-12,-4,-13,-4,-13,-3,-13,-3,-13,-2,-13,-2,-14,-1,-15,0,-14,0,-14,1,-13,1,-12,1,-10,1,-10,1,-10,0,-8,1,-8,0,-8,0,-8,1,-8,4,-10,6,-10,7,-9,7,-9,-1,-7,-1,-7,-3,-7,86.406,-9.2289,137.01,912.87,13.081,3.7711,105.41,1209.5,7
2,-8,3,-8,4,-7,2,-8,1,-8,2,-8,2,-8,2,-8,4,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,2,-7,2,-7,2,-7,3,-7,2,-7,1,-6,1,-5,0,-4,0,-4,0,-5,0,-5,0,-6,2,-7,2,-7,3,-7,5,-9,10,-10,13,-9,8,-8,4,-8,1,-8,1,-9,20,-3,17,-2,1,-9,-7,-13,-7,-14,6,-5,6,-4,6,-4,5,-4,5,-4,4,-4,4,-4,3,-4,3,-4,3,-4,2,-5,3,-5,2,-7,2,-8,3,-10,3,-10,3,-10,5,-11,5,-11,5,-11,5,-10,5,-10,5,-9,2,-8,-2,-7,-3,-6,0,-8,1,-8,2,-8,58.877,-8.3512,86.613,1010.7,52.824,6.6488,58.474,1238.8,7
3,-7,2,-7,3,-7,3,-6,4,-6,2,-6,1,-7,1,-7,-1,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,1,-8,0,-8,1,-9,2,-10,3,-12,3,-11,3,-11,4,-10,3,-10,4,-10,4,-10,3,-9,0,-7,-4,-7,-4,-7,-4,-7,-1,-8,-1,-7,-1,-8,-2,-8,1,-7,-2,-9,3,-5,3,-5,-2,-9,-2,-9,-1,-9,-1,-9,0,-9,-1,-9,0,-9,0,-9,0,-9,0,-9,-1,-7,-1,-2,-1,-2,0,-7,-2,-2,-2,-2,-3,-4,-2,-5,0,-6,1,-8,1,-8,1,-8,1,-8,2,-8,-7,-6,-2,-7,1,-7,3,-7,75.914,-8.918,150.55,772.16,27.953,5.082,60.062,1037.7,7
-4,-7,-4,-7,-5,-8,-4,-8,-4,-8,-4,-9,-3,-8,-3,-8,-2,-8,-3,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-1,-9,-1,-9,-1,-10,-1,-11,-1,-12,1,-13,1,-12,0,-11,0,-9,-1,-8,-1,-7,-2,-8,-2,-6,-2,-6,-3,-6,-4,-6,-5,-6,-5,-6,-5,-7,-5,-7,-4,-7,-1,-7,0,-6,2,-6,3,-5,6,-2,-5,-10,-1,-7,3,-3,2,-3,1,-3,1,-3,0,-3,0,-2,-1,-2,0,-2,-1,-1,-1,-1,-1,-4,-1,-9,-1,-9,-3,-4,-1,-9,-1,-9,-1,-8,-2,-7,-3,-6,-4,-5,-4,-5,-5,-5,-8,-4,-5,-6,7,-9,6,-8,-2,-7,-4,-7,84.832,-10.81,163.16,589.05,95.012,11.19,85.368,1206.4,7
-1,-8,-1,-8,-2,-8,-2,-8,-2,-8,-2,-8,-1,-8,-1,-8,-1,-8,0,-7,0,-7,0,-7,0,-7,0,-7,0,-7,0,-7,0,-6,-1,-6,-1,-5,-1,-4,-1,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-4,-3,-6,-2,-5,-3,-7,-3,-7,-3,-7,-3,-7,0,-8,6,-9,7,-8,6,-8,4,-7,1,-7,0,-8,-7,-10,-3,-9,1,-7,3,-5,-6,-12,-5,-12,-4,-12,-3,-12,-3,-12,-2,-12,-2,-13,-1,-13,-2,-13,-1,-14,-1,-13,0,-12,0,-12,1,-12,1,-12,2,-12,2,-12,0,-8,0,-8,-2,-6,-2,-6,-3,-6,-2,-7,2,-8,-2,-7,-2,-7,-2,-7,1,-8,0,-8,96.252,-9.2041,102.69,940.78,26.568,5.7959,117.25,1177.7,7
3,-8,3,-7,2,-8,5,-7,4,-7,4,-7,3,-7,3,-7,3,-7,2,-8,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,1,-8,2,-8,2,-8,1,-8,1,-8,1,-8,1,-7,1,-7,1,-8,1,-8,2,-8,2,-9,4,-9,3,-9,4,-9,3,-8,1,-8,-3,-7,2,-9,4,-8,4,-8,1,-9,1,-8,6,-7,-5,-11,-8,-14,-1,-10,4,-6,4,-6,3,-6,3,-6,3,-6,2,-6,2,-5,2,-5,2,-5,1,-5,2,-6,1,-5,1,-5,0,-5,0,-4,-1,-4,-1,-4,1,-7,1,-7,2,-9,2,-9,4,-10,3,-9,2,-9,2,-8,2,-8,-3,-8,0,-8,2,-8,66.997,-9.1369,115.81,1106.7,59.648,7.8631,104.46,1137.5,7
0,-9,5,-9,6,-8,1,-9,3,-9,3,-8,3,-8,3,-8,2,-8,2,-8,3,-8,3,-8,3,-8,2,-8,2,-8,2,-9,2,-10,1,-10,1,-11,2,-11,3,-13,3,-13,4,-14,4,-14,4,-12,5,-12,3,-10,3,-10,1,-9,2,-9,3,-9,4,-10,3,-9,0,-9,-6,-8,-7,-9,-6,-10,-1,-9,1,-9,4,-8,8,-6,8,-5,6,-6,4,-7,3,-7,4,-7,3,-7,2,-7,2,-8,2,-9,1,-9,2,-9,2,-9,1,-9,2,-10,2,-10,2,-10,3,-11,3,-11,3,-11,3,-11,3,-11,4,-11,4,-11,3,-10,4,-10,1,-9,4,-10,0,-9,6,-9,2,-9,-1,-9,62.318,-10.097,146.48,604.86,82.688,7.9034,62.516,1324.8,7
-4,-6,-9,-7,-8,-7,-7,-7,-8,-8,-7,-8,-7,-8,-7,-8,-6,-8,-5,-8,-6,-8,-6,-8,-5,-8,-4,-8,-4,-8,-5,-7,-5,-6,-4,-6,-4,-6,-4,-6,-5,-5,-4,-6,-4,-6,-4,-6,-4,-7,-4,-7,-4,-7,-4,-6,-4,-6,-4,-6,-6,-6,-6,-6,-6,-6,-5,-6,-4,-6,-1,-6,-1,-6,-2,-6,-3,-6,-5,-6,0,-4,-3,-6,-7,-8,-4,-6,-4,-6,-6,-8,-6,-8,-5,-8,-5,-7,-4,-7,-4,-7,-5,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-7,-5,-6,-3,-7,-6,-5,-4,-6,-4,-6,-5,-6,-8,-6,-5,-6,-3,-6,94.243,-9.9343,150.64,772.37,86.307,7.0657,58.99,1239.7,7
1,-8,1,-8,0,-8,1,-8,0,-7,0,-8,0,-9,0,-8,1,-8,1,-7,1,-7,2,-7,1,-7,1,-7,0,-7,1,-7,1,-7,1,-7,1,-6,0,-6,0,-5,-1,-4,-2,-3,-2,-3,-3,-3,-3,-3,-3,-4,-3,-5,-2,-6,-1,-7,2,-8,8,-10,11,-11,11,-10,10,-9,2,-8,2,-7,1,-8,0,-8,-14,-14,-7,-11,-4,-10,5,-5,-4,-12,-3,-12,-1,-10,-1,-10,0,-10,0,-10,0,-10,0,-10,1,-10,0,-10,1,-10,0,-10,1,-10,2,-10,1,-10,2,-10,2,-10,1,-7,2,-9,-1,-6,0,-7,-5,-4,-1,-7,-1,-7,-5,-6,-5,-6,-3,-7,0,-8,1,-8,87.083,-9.1615,74.318,848.83,31.216,4.8385,87.359,1215.2,7
4,-7,5,-7,4,-7,5,-7,5,-6,5,-6,3,-6,3,-7,2,-7,2,-8,2,-8,1,-8,1,-8,1,-8,2,-8,2,-8,2,-8,2,-8,2,-8,2,-8,2,-8,2,-8,3,-9,3,-9,4,-10,4,-11,6,-12,6,-11,6,-10,5,-9,2,-8,-3,-6,-6,-5,-5,-6,-3,-7,5,-7,5,-8,0,-8,-1,-8,8,-5,-9,-13,-5,-12,-2,-10,4,-6,2,-7,2,-7,3,-7,2,-6,3,-6,2,-6,2,-6,2,-6,2,-5,2,-5,2,-5,1,-3,0,-3,0,-3,-1,-3,-1,-3,0,-6,-2,-3,-2,-4,-2,-4,1,-7,1,-7,1,-7,2,-8,7,-9,6,-8,5,-8,5,-7,85.531,-9.5879,161.76,1040,32.853,7.4121,175.07,1008.8,7
